Month,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,BasePolicy
Jul,Mecedes,Rural,Monday,Dec,3,Female,Widow,58,Policy Holder,Sedan - Liability,Utility,less than 20000,97191,8,500,1,1 to 7,8 to 15,1,6 years,31 to 35,Yes,Yes,Internal,none,under 6 months,1 vehicle,All Perils
Jul,Honda,Rural,Friday,Oct,2,Female,Divorced,30,Policy Holder,Utility - Collision,Utility,30000 to 39000,18936,7,300,1,1 to 7,more than 30,1,2 years,18 to 20,Yes,No,External,more than 5,under 6 months,more than 8,Liability
May,Ford,Rural,Wednesday,Sep,4,Male,Widow,20,Third Party,Sport - All Perils,Utility,30000 to 39000,94310,9,300,2,8 to 15,more than 30,more than 4,7 years,31 to 35,Yes,No,External,more than 5,4 to 8 years,more than 8,Liability
Mar,Lexus,Urban,Monday,May,5,Female,Divorced,47,Policy Holder,Utility - All Perils,Sport,less than 20000,73825,1,300,4,1 to 7,more than 30,none,6 years,51 to 65,No,No,Internal,none,1 year,2 vehicles,Collision
Mar,Ford,Urban,Saturday,Mar,5,Female,Married,19,Policy Holder,Utility - All Perils,Utility,more than 69000,21126,9,500,2,none,more than 30,none,2 years,21 to 25,Yes,Yes,External,3 to 5,under 6 months,more than 8,Liability
Nov,Toyota,Urban,Sunday,Nov,2,Female,Single,42,Third Party,Sedan - All Perils,Utility,60000 to 69000,75817,8,700,2,none,more than 30,2 to 4,7 years,16 to 17,No,Yes,External,1 to 2,2 to 3 years,more than 8,All Perils
Oct,Lexus,Urban,Sunday,May,4,Male,Married,30,Policy Holder,Sport - All Perils,Sedan,more than 69000,68045,1,300,2,none,none,2 to 4,6 years,16 to 17,No,Yes,External,more than 5,no change,1 vehicle,Collision
Sep,Saturn,Rural,Friday,Dec,5,Female,Single,79,Third Party,Utility - Liability,Sport,40000 to 59000,63098,7,500,4,more than 30,more than 30,1,3 years,21 to 25,Yes,No,Internal,1 to 2,2 to 3 years,more than 8,Liability
Sep,Ford,Urban,Saturday,Jan,4,Female,Divorced,51,Third Party,Utility - Collision,Sport,more than 69000,70163,5,400,4,8 to 15,more than 30,more than 4,new,18 to 20,No,Yes,Internal,none,no change,more than 8,Collision
Apr,BMW,Urban,0,Sep,5,Male,Married,52,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,93093,1,500,1,15 to 30,8 to 15,2 to 4,7 years,31 to 35,Yes,No,External,1 to 2,1 year,more than 8,All Perils
Jan,Dodge,Urban,0,Jan,5,Male,Widow,59,Third Party,Sedan - Liability,Sedan,60000 to 69000,25439,2,500,1,more than 30,more than 30,1,more than 7,over 65,No,No,Internal,more than 5,4 to 8 years,2 vehicles,All Perils
Aug,Honda,Urban,Saturday,May,3,Female,Widow,40,Third Party,Utility - Collision,Utility,60000 to 69000,43692,9,300,4,none,more than 30,none,6 years,21 to 25,Yes,Yes,External,3 to 5,under 6 months,3 to 4,All Perils
Dec,Toyota,Urban,Monday,Feb,5,Male,Divorced,42,Third Party,Utility - Liability,Sport,20000 to 29000,35428,9,700,3,15 to 30,15 to 30,1,more than 7,26 to 30,No,No,Internal,1 to 2,under 6 months,5 to 8,Liability
Jun,Jaguar,Rural,Wednesday,0,4,Female,Single,26,Policy Holder,Sedan - Collision,Utility,more than 69000,99398,6,400,4,more than 30,more than 30,none,4 years,26 to 30,No,No,External,more than 5,1 year,more than 8,Collision
May,Ferrari,Rural,Sunday,Sep,4,Female,Divorced,74,Policy Holder,Sport - Collision,Utility,30000 to 39000,18615,3,300,3,1 to 7,15 to 30,more than 4,new,51 to 65,No,No,Internal,3 to 5,under 6 months,2 vehicles,Liability
Mar,Honda,Urban,Friday,Nov,4,Female,Married,35,Third Party,Utility - Liability,Sport,20000 to 29000,61850,8,400,4,none,8 to 15,more than 4,6 years,21 to 25,Yes,No,Internal,1 to 2,1 year,2 vehicles,Collision
Feb,Saab,Rural,Tuesday,May,1,Female,Single,32,Policy Holder,Utility - Liability,Sport,40000 to 59000,40083,1,700,1,more than 30,8 to 15,2 to 4,7 years,18 to 20,No,Yes,External,none,1 year,2 vehicles,All Perils
Mar,VW,Rural,Thursday,Feb,3,Male,Widow,36,Third Party,Utility - Collision,Sport,60000 to 69000,52468,6,400,1,1 to 7,more than 30,2 to 4,2 years,21 to 25,Yes,No,External,1 to 2,2 to 3 years,2 vehicles,Collision
Oct,VW,Urban,Tuesday,Oct,1,Female,Married,42,Policy Holder,Utility - Liability,Sport,20000 to 29000,73874,4,500,3,15 to 30,15 to 30,2 to 4,2 years,36 to 40,Yes,No,Internal,1 to 2,4 to 8 years,more than 8,Collision
Jul,Saturn,Urban,Tuesday,Jan,5,Male,Divorced,47,Third Party,Utility - All Perils,Utility,more than 69000,61022,7,500,2,none,more than 30,more than 4,new,31 to 35,Yes,No,External,1 to 2,no change,3 to 4,Liability
Aug,Pontiac,Urban,Sunday,Mar,4,Female,Single,18,Third Party,Utility - Collision,Utility,60000 to 69000,75458,7,300,4,15 to 30,more than 30,more than 4,3 years,26 to 30,Yes,Yes,External,more than 5,4 to 8 years,more than 8,All Perils
Nov,Porche,Urban,Friday,Nov,5,Female,Widow,19,Third Party,Sedan - Liability,Utility,20000 to 29000,60559,6,700,3,15 to 30,15 to 30,2 to 4,3 years,16 to 17,No,Yes,External,1 to 2,under 6 months,more than 8,All Perils
Aug,BMW,Urban,Monday,Jan,3,Female,Widow,18,Third Party,Utility - All Perils,Sedan,30000 to 39000,56631,7,500,4,8 to 15,more than 30,more than 4,6 years,over 65,No,Yes,External,none,2 to 3 years,3 to 4,Collision
Oct,Honda,Urban,Sunday,Nov,1,Male,Divorced,53,Policy Holder,Sport - Collision,Sport,less than 20000,13260,4,300,2,1 to 7,none,1,6 years,31 to 35,No,Yes,External,more than 5,no change,5 to 8,All Perils
Jun,Mecedes,Urban,0,Feb,3,Male,Single,70,Third Party,Sport - Liability,Sedan,more than 69000,25857,9,700,3,1 to 7,15 to 30,none,more than 7,16 to 17,No,Yes,Internal,3 to 5,under 6 months,2 vehicles,Liability
Feb,Porche,Rural,Saturday,Nov,5,Male,Single,41,Third Party,Sport - Collision,Utility,20000 to 29000,54583,5,500,3,15 to 30,none,more than 4,new,36 to 40,No,Yes,External,1 to 2,2 to 3 years,5 to 8,Collision
Nov,Chevrolet,Urban,Wednesday,Mar,5,Male,Married,36,Third Party,Sedan - Liability,Sedan,60000 to 69000,10351,9,400,3,more than 30,more than 30,2 to 4,new,41 to 50,No,Yes,Internal,none,2 to 3 years,5 to 8,Liability
Sep,Toyota,Urban,Thursday,Oct,4,Female,Divorced,20,Third Party,Utility - Liability,Utility,60000 to 69000,71182,8,400,4,8 to 15,15 to 30,2 to 4,new,51 to 65,Yes,No,Internal,3 to 5,1 year,1 vehicle,All Perils
Dec,VW,Urban,Friday,Jul,1,Male,Widow,51,Third Party,Utility - All Perils,Utility,more than 69000,25431,5,400,1,15 to 30,15 to 30,2 to 4,6 years,18 to 20,No,No,Internal,more than 5,no change,5 to 8,Liability
Nov,Mecedes,Rural,Friday,Sep,5,Female,Single,43,Policy Holder,Utility - All Perils,Sport,40000 to 59000,45255,3,700,4,8 to 15,more than 30,1,5 years,over 65,No,No,Internal,1 to 2,under 6 months,2 vehicles,Liability
Nov,Porche,Urban,0,Nov,5,Male,Married,79,Third Party,Sedan - Collision,Sedan,40000 to 59000,15990,3,300,3,8 to 15,15 to 30,1,2 years,31 to 35,Yes,No,External,none,under 6 months,2 vehicles,Collision
Jan,Mercury,Rural,0,Oct,5,Female,Married,31,Third Party,Utility - Collision,Sedan,less than 20000,19566,4,500,3,none,8 to 15,1,5 years,over 65,Yes,No,External,none,2 to 3 years,1 vehicle,Collision
Mar,Saturn,Urban,Sunday,Jan,3,Female,Married,69,Third Party,Utility - Liability,Sport,more than 69000,36235,7,300,3,none,15 to 30,none,2 years,16 to 17,Yes,Yes,External,more than 5,1 year,2 vehicles,Collision
Dec,Honda,Urban,Thursday,0,5,Male,Divorced,41,Policy Holder,Sport - Collision,Sport,30000 to 39000,95779,6,500,4,15 to 30,none,2 to 4,7 years,36 to 40,Yes,Yes,Internal,none,2 to 3 years,2 vehicles,All Perils
Feb,VW,Urban,Tuesday,Jul,4,Female,Single,77,Third Party,Sedan - Liability,Sedan,more than 69000,27565,3,500,4,15 to 30,15 to 30,2 to 4,new,16 to 17,Yes,No,External,3 to 5,no change,3 to 4,Collision
May,Mercury,Rural,Sunday,Mar,1,Female,Divorced,35,Policy Holder,Utility - All Perils,Sedan,more than 69000,79172,4,300,4,more than 30,none,2 to 4,5 years,over 65,Yes,Yes,External,1 to 2,2 to 3 years,3 to 4,All Perils
Apr,Porche,Urban,Thursday,Dec,5,Female,Divorced,62,Policy Holder,Sedan - Collision,Sport,60000 to 69000,90481,5,400,1,15 to 30,more than 30,2 to 4,6 years,36 to 40,Yes,No,External,3 to 5,2 to 3 years,more than 8,Collision
May,Jaguar,Urban,Monday,Dec,4,Male,Divorced,73,Policy Holder,Sport - Liability,Utility,more than 69000,58016,8,400,1,more than 30,more than 30,more than 4,5 years,26 to 30,Yes,Yes,External,more than 5,no change,5 to 8,Collision
Mar,Pontiac,Rural,Sunday,Jun,2,Male,Married,44,Third Party,Utility - All Perils,Sport,less than 20000,41511,9,500,1,more than 30,none,2 to 4,more than 7,51 to 65,No,No,External,3 to 5,under 6 months,5 to 8,Collision
Sep,VW,Rural,Wednesday,Dec,4,Male,Married,21,Third Party,Utility - Collision,Sport,less than 20000,43469,2,300,1,more than 30,8 to 15,1,new,26 to 30,No,No,Internal,1 to 2,under 6 months,more than 8,All Perils
Sep,Saturn,Urban,Thursday,Aug,3,Female,Divorced,17,Third Party,Sedan - Liability,Sedan,20000 to 29000,51301,1,700,1,8 to 15,15 to 30,1,5 years,18 to 20,Yes,No,External,3 to 5,1 year,2 vehicles,Collision
Mar,BMW,Urban,Sunday,Jan,5,Female,Married,35,Policy Holder,Sport - Collision,Utility,more than 69000,22691,8,400,4,1 to 7,15 to 30,1,7 years,over 65,Yes,No,Internal,none,under 6 months,1 vehicle,Collision
Aug,Porche,Urban,Sunday,Mar,4,Female,Widow,72,Third Party,Sport - Liability,Utility,20000 to 29000,82248,4,300,3,more than 30,15 to 30,none,3 years,31 to 35,Yes,Yes,Internal,1 to 2,under 6 months,3 to 4,Collision
Jan,Ferrari,Rural,Tuesday,Jan,3,Female,Married,67,Policy Holder,Utility - All Perils,Sport,less than 20000,22316,6,300,2,8 to 15,15 to 30,none,2 years,18 to 20,Yes,No,External,none,1 year,5 to 8,Collision
May,Chevrolet,Rural,Sunday,Apr,5,Male,Married,25,Third Party,Sport - Collision,Sedan,40000 to 59000,39950,3,500,1,none,more than 30,more than 4,5 years,31 to 35,Yes,No,External,1 to 2,1 year,1 vehicle,Collision
Jun,Jaguar,Urban,Monday,Dec,2,Male,Divorced,16,Third Party,Sport - All Perils,Sport,40000 to 59000,44445,3,700,2,more than 30,none,more than 4,7 years,26 to 30,Yes,Yes,External,1 to 2,1 year,5 to 8,Collision
May,VW,Rural,Sunday,Mar,1,Female,Divorced,37,Third Party,Sedan - Collision,Sedan,less than 20000,41516,2,400,1,15 to 30,8 to 15,1,4 years,36 to 40,No,No,Internal,3 to 5,1 year,5 to 8,Collision
Aug,Mercury,Rural,Monday,May,5,Male,Married,74,Third Party,Utility - All Perils,Utility,less than 20000,88890,2,400,4,none,8 to 15,2 to 4,7 years,26 to 30,Yes,No,External,3 to 5,no change,3 to 4,Collision
Feb,Lexus,Urban,Sunday,Feb,2,Male,Single,73,Policy Holder,Utility - All Perils,Utility,30000 to 39000,64427,6,400,2,15 to 30,none,more than 4,2 years,31 to 35,Yes,Yes,External,more than 5,1 year,2 vehicles,All Perils
Oct,Mazda,Rural,Saturday,Nov,2,Female,Widow,67,Third Party,Sport - Collision,Sedan,30000 to 39000,98706,6,500,1,more than 30,none,1,7 years,41 to 50,Yes,Yes,Internal,none,under 6 months,5 to 8,All Perils
Sep,Saab,Urban,0,Jan,3,Male,Single,25,Policy Holder,Sport - Collision,Sport,30000 to 39000,48551,9,700,4,15 to 30,8 to 15,more than 4,more than 7,16 to 17,No,Yes,Internal,more than 5,2 to 3 years,5 to 8,Collision
Oct,Dodge,Rural,Tuesday,Jan,5,Male,Divorced,70,Third Party,Sedan - Liability,Sport,20000 to 29000,92593,8,300,4,8 to 15,15 to 30,2 to 4,2 years,26 to 30,No,Yes,External,1 to 2,1 year,3 to 4,All Perils
Apr,Mazda,Urban,Sunday,Mar,4,Male,Married,24,Policy Holder,Sedan - Liability,Sedan,30000 to 39000,38712,8,300,2,15 to 30,none,more than 4,6 years,26 to 30,No,No,External,3 to 5,no change,more than 8,Liability
Jan,Ford,Rural,Saturday,May,2,Male,Single,60,Third Party,Sedan - Liability,Sedan,60000 to 69000,14971,1,300,2,none,more than 30,more than 4,5 years,31 to 35,Yes,No,External,1 to 2,2 to 3 years,3 to 4,Liability
Feb,Nisson,Rural,Tuesday,Nov,4,Female,Widow,80,Third Party,Utility - Collision,Utility,40000 to 59000,39387,1,700,3,more than 30,8 to 15,none,4 years,over 65,Yes,No,Internal,3 to 5,1 year,5 to 8,Liability
May,Saab,Urban,Sunday,Aug,1,Female,Married,60,Third Party,Sport - Liability,Utility,less than 20000,63371,2,400,2,more than 30,none,more than 4,more than 7,26 to 30,Yes,No,Internal,more than 5,no change,3 to 4,All Perils
May,Nisson,Rural,Friday,Mar,4,Male,Divorced,60,Policy Holder,Sport - Liability,Sport,40000 to 59000,45700,1,300,2,15 to 30,more than 30,2 to 4,3 years,51 to 65,No,No,Internal,none,under 6 months,3 to 4,All Perils
May,VW,Urban,Friday,Jul,4,Male,Divorced,36,Policy Holder,Sedan - Collision,Utility,40000 to 59000,77473,6,300,4,more than 30,more than 30,more than 4,new,36 to 40,Yes,Yes,External,3 to 5,1 year,2 vehicles,Liability
Apr,Nisson,Rural,Sunday,Sep,1,Male,Divorced,31,Policy Holder,Utility - All Perils,Utility,30000 to 39000,21928,5,500,3,more than 30,more than 30,1,7 years,36 to 40,Yes,Yes,Internal,more than 5,no change,more than 8,Liability
Sep,Ford,Urban,Monday,May,5,Male,Divorced,73,Third Party,Utility - Liability,Sport,60000 to 69000,47922,8,400,4,15 to 30,15 to 30,none,6 years,31 to 35,No,No,External,none,2 to 3 years,5 to 8,Collision
Jun,Accura,Rural,Thursday,May,1,Male,Single,38,Policy Holder,Sedan - Liability,Sedan,less than 20000,44198,6,400,1,more than 30,more than 30,more than 4,6 years,21 to 25,Yes,Yes,External,3 to 5,under 6 months,2 vehicles,All Perils
Feb,BMW,Rural,Wednesday,Feb,3,Male,Married,58,Third Party,Sport - Liability,Sport,60000 to 69000,56022,3,500,2,1 to 7,more than 30,2 to 4,more than 7,26 to 30,No,No,External,1 to 2,4 to 8 years,3 to 4,Liability
May,Saab,Urban,Wednesday,Sep,1,Female,Married,32,Third Party,Sport - All Perils,Sedan,more than 69000,56722,3,500,2,more than 30,8 to 15,1,6 years,51 to 65,Yes,No,External,none,1 year,3 to 4,All Perils
Nov,Mercury,Rural,Sunday,May,1,Female,Married,75,Third Party,Sedan - Collision,Sport,30000 to 39000,83726,1,300,4,1 to 7,8 to 15,more than 4,3 years,18 to 20,Yes,No,Internal,none,1 year,3 to 4,All Perils
Mar,Chevrolet,Rural,Wednesday,Nov,3,Female,Divorced,54,Third Party,Utility - All Perils,Sedan,60000 to 69000,19932,2,400,4,none,none,more than 4,5 years,18 to 20,Yes,Yes,Internal,3 to 5,under 6 months,3 to 4,All Perils
Oct,Saab,Rural,0,Nov,1,Male,Divorced,34,Third Party,Sport - Liability,Sedan,more than 69000,68132,5,500,1,15 to 30,none,more than 4,5 years,31 to 35,No,No,Internal,3 to 5,2 to 3 years,3 to 4,Liability
Jan,Mazda,Rural,Wednesday,Feb,5,Male,Divorced,36,Policy Holder,Utility - All Perils,Utility,20000 to 29000,34017,4,300,4,1 to 7,more than 30,more than 4,5 years,over 65,Yes,Yes,External,more than 5,2 to 3 years,1 vehicle,Collision
Sep,Ferrari,Rural,Wednesday,Jan,2,Female,Single,56,Third Party,Sedan - Liability,Sedan,20000 to 29000,90989,1,400,1,1 to 7,none,2 to 4,4 years,51 to 65,No,No,External,1 to 2,4 to 8 years,3 to 4,All Perils
Aug,Pontiac,Rural,Thursday,Feb,3,Female,Divorced,41,Policy Holder,Sport - Liability,Sport,more than 69000,18492,5,700,4,more than 30,15 to 30,2 to 4,2 years,21 to 25,No,Yes,Internal,3 to 5,1 year,more than 8,Collision
Sep,Pontiac,Rural,Thursday,Jun,4,Male,Single,71,Policy Holder,Utility - Liability,Sedan,less than 20000,62319,5,400,4,15 to 30,more than 30,2 to 4,3 years,41 to 50,No,Yes,Internal,more than 5,1 year,3 to 4,Collision
Nov,Saab,Urban,Saturday,0,2,Male,Divorced,34,Policy Holder,Utility - Liability,Sport,less than 20000,81632,4,700,1,more than 30,15 to 30,more than 4,2 years,26 to 30,Yes,Yes,Internal,3 to 5,under 6 months,more than 8,Liability
Feb,VW,Urban,Wednesday,0,1,Male,Divorced,70,Policy Holder,Sedan - Collision,Sedan,more than 69000,45380,8,400,4,15 to 30,more than 30,none,2 years,31 to 35,No,Yes,External,more than 5,4 to 8 years,1 vehicle,Liability
Mar,Chevrolet,Rural,Wednesday,Dec,5,Female,Widow,0,Third Party,Sport - All Perils,Sport,less than 20000,98177,5,300,4,15 to 30,15 to 30,more than 4,3 years,41 to 50,No,Yes,Internal,1 to 2,no change,1 vehicle,Liability
Apr,Lexus,Rural,0,Sep,5,Female,Single,74,Policy Holder,Utility - All Perils,Sport,20000 to 29000,13358,6,400,3,1 to 7,8 to 15,more than 4,new,41 to 50,No,No,Internal,1 to 2,under 6 months,more than 8,Collision
Dec,Ferrari,Rural,Saturday,Mar,4,Male,Married,71,Third Party,Sport - Collision,Sedan,60000 to 69000,15196,4,700,4,8 to 15,none,2 to 4,more than 7,16 to 17,Yes,No,External,more than 5,under 6 months,more than 8,Collision
Feb,Lexus,Urban,Saturday,Oct,1,Female,Single,68,Policy Holder,Sedan - All Perils,Utility,30000 to 39000,61352,4,400,4,1 to 7,more than 30,none,7 years,16 to 17,Yes,Yes,External,none,1 year,2 vehicles,Liability
Jun,Ferrari,Rural,Friday,Oct,4,Female,Married,54,Third Party,Utility - Collision,Sport,60000 to 69000,13632,8,700,3,1 to 7,more than 30,none,2 years,36 to 40,Yes,Yes,External,more than 5,under 6 months,1 vehicle,Collision
Oct,Mercury,Rural,Friday,Apr,2,Male,Widow,52,Policy Holder,Utility - Liability,Sedan,more than 69000,24978,7,400,2,1 to 7,none,more than 4,2 years,31 to 35,No,No,External,3 to 5,1 year,5 to 8,Collision
Feb,Pontiac,Rural,Sunday,Sep,5,Male,Divorced,32,Third Party,Sport - All Perils,Sedan,40000 to 59000,60221,9,300,2,15 to 30,more than 30,none,6 years,31 to 35,Yes,No,External,3 to 5,4 to 8 years,5 to 8,Liability
Nov,Mercury,Rural,Saturday,May,4,Female,Married,64,Policy Holder,Utility - Liability,Utility,20000 to 29000,91990,4,300,2,1 to 7,more than 30,2 to 4,2 years,over 65,No,No,External,3 to 5,under 6 months,more than 8,Liability
Jul,VW,Urban,Thursday,Sep,1,Female,Widow,44,Policy Holder,Sport - All Perils,Sport,60000 to 69000,60111,2,400,2,8 to 15,none,more than 4,new,18 to 20,No,Yes,Internal,1 to 2,2 to 3 years,more than 8,All Perils
Jul,Mercury,Urban,Saturday,0,3,Male,Divorced,48,Third Party,Sport - Liability,Utility,60000 to 69000,42961,7,500,4,none,more than 30,none,new,16 to 17,No,No,External,1 to 2,2 to 3 years,5 to 8,Liability
Aug,Lexus,Urban,Monday,Feb,5,Female,Widow,38,Policy Holder,Utility - All Perils,Utility,20000 to 29000,88479,1,500,4,none,15 to 30,2 to 4,more than 7,16 to 17,No,Yes,Internal,1 to 2,1 year,2 vehicles,Liability
Feb,Chevrolet,Rural,0,Nov,2,Female,Divorced,20,Third Party,Sedan - All Perils,Utility,30000 to 39000,13258,1,300,3,8 to 15,8 to 15,2 to 4,3 years,51 to 65,No,No,Internal,more than 5,1 year,3 to 4,Collision
Dec,Chevrolet,Rural,Friday,Aug,2,Female,Divorced,30,Policy Holder,Utility - All Perils,Utility,more than 69000,37612,9,300,2,more than 30,8 to 15,1,3 years,18 to 20,No,No,Internal,3 to 5,2 to 3 years,1 vehicle,Liability
Sep,Porche,Urban,Thursday,May,2,Male,Married,30,Third Party,Utility - Liability,Sedan,30000 to 39000,70430,7,400,1,more than 30,more than 30,more than 4,new,36 to 40,No,Yes,External,none,1 year,1 vehicle,Collision
Jun,Jaguar,Urban,Thursday,Mar,1,Male,Widow,69,Policy Holder,Utility - Collision,Utility,60000 to 69000,24024,4,500,2,15 to 30,more than 30,2 to 4,more than 7,16 to 17,Yes,No,Internal,none,1 year,more than 8,Liability
Apr,Toyota,Urban,Thursday,Oct,5,Male,Widow,48,Third Party,Sport - Liability,Utility,more than 69000,61399,5,400,1,none,15 to 30,2 to 4,5 years,18 to 20,Yes,No,External,more than 5,no change,5 to 8,Collision
Nov,Mazda,Rural,Sunday,Apr,1,Male,Married,80,Third Party,Sport - Liability,Sport,20000 to 29000,64242,2,500,2,1 to 7,15 to 30,more than 4,2 years,18 to 20,Yes,Yes,Internal,none,1 year,2 vehicles,All Perils
Jul,Saturn,Rural,Friday,0,5,Female,Divorced,33,Policy Holder,Sedan - All Perils,Sedan,60000 to 69000,40566,3,300,2,8 to 15,8 to 15,none,2 years,41 to 50,No,No,External,3 to 5,1 year,5 to 8,Liability
Nov,Jaguar,Rural,0,Dec,3,Female,Divorced,16,Third Party,Sport - Liability,Sedan,40000 to 59000,93678,4,300,3,15 to 30,none,more than 4,2 years,31 to 35,No,No,Internal,1 to 2,1 year,1 vehicle,All Perils
Oct,VW,Urban,0,Nov,1,Male,Single,0,Policy Holder,Sport - Liability,Utility,60000 to 69000,55382,6,700,1,more than 30,8 to 15,more than 4,5 years,51 to 65,Yes,Yes,Internal,3 to 5,4 to 8 years,3 to 4,Collision
Jul,Pontiac,Rural,Thursday,Apr,5,Female,Married,55,Policy Holder,Utility - All Perils,Sedan,less than 20000,86969,3,400,4,1 to 7,more than 30,more than 4,new,41 to 50,Yes,No,Internal,none,no change,more than 8,All Perils
Aug,Jaguar,Urban,Friday,Dec,4,Female,Widow,73,Third Party,Sport - Collision,Sedan,20000 to 29000,71194,5,500,4,none,more than 30,2 to 4,4 years,over 65,No,No,Internal,3 to 5,2 to 3 years,1 vehicle,All Perils
Oct,Dodge,Urban,Tuesday,Jan,1,Male,Married,35,Third Party,Sedan - Collision,Utility,20000 to 29000,84876,2,700,4,more than 30,15 to 30,more than 4,more than 7,51 to 65,No,Yes,Internal,3 to 5,2 to 3 years,5 to 8,All Perils
Apr,Honda,Urban,Saturday,Jan,1,Female,Divorced,22,Third Party,Sport - Liability,Sedan,20000 to 29000,47500,8,300,4,none,more than 30,none,2 years,36 to 40,Yes,Yes,External,3 to 5,2 to 3 years,more than 8,Collision
Apr,Lexus,Rural,Thursday,0,2,Male,Divorced,64,Third Party,Sedan - All Perils,Utility,20000 to 29000,92127,2,700,3,15 to 30,more than 30,more than 4,more than 7,41 to 50,Yes,Yes,External,1 to 2,2 to 3 years,3 to 4,Liability
Nov,Saab,Rural,0,Nov,3,Female,Married,72,Third Party,Utility - Collision,Utility,30000 to 39000,61545,7,700,4,15 to 30,8 to 15,more than 4,6 years,36 to 40,No,No,Internal,none,2 to 3 years,3 to 4,All Perils
Jan,Mazda,Rural,Friday,Aug,3,Female,Single,59,Third Party,Sedan - Liability,Utility,more than 69000,86641,3,500,4,8 to 15,none,more than 4,2 years,over 65,Yes,Yes,Internal,more than 5,under 6 months,5 to 8,All Perils
